Geneset	Genes
Mavrikaki et al. Downregulated Genes	COL9A1
Mavrikaki et al. Downregulated Genes	SNX3
Mavrikaki et al. Downregulated Genes	SEMA5A
Mavrikaki et al. Downregulated Genes	GNB4
Mavrikaki et al. Downregulated Genes	CSPG5
Mavrikaki et al. Downregulated Genes	TTL
Mavrikaki et al. Downregulated Genes	ACVR1
Mavrikaki et al. Downregulated Genes	KIF21B
Mavrikaki et al. Downregulated Genes	ETV3
Mavrikaki et al. Downregulated Genes	B4GALT2
Mavrikaki et al. Downregulated Genes	DR1
Mavrikaki et al. Downregulated Genes	PLPPR5
Mavrikaki et al. Downregulated Genes	PLPPR4
Mavrikaki et al. Downregulated Genes	FILIP1
Mavrikaki et al. Downregulated Genes	CCND2
Mavrikaki et al. Downregulated Genes	TRIM67
Mavrikaki et al. Downregulated Genes	NR4A3
Mavrikaki et al. Downregulated Genes	AREL1
Mavrikaki et al. Downregulated Genes	ENY2
Mavrikaki et al. Downregulated Genes	EGR1
Mavrikaki et al. Downregulated Genes	RNF2
Mavrikaki et al. Downregulated Genes	HCRTR1
Mavrikaki et al. Downregulated Genes	HPCA
Mavrikaki et al. Downregulated Genes	EGR2
Mavrikaki et al. Downregulated Genes	NR4A1
Mavrikaki et al. Downregulated Genes	ATG101
Mavrikaki et al. Downregulated Genes	VAMP7
Mavrikaki et al. Downregulated Genes	SOX4
Mavrikaki et al. Downregulated Genes	DYRK2
Mavrikaki et al. Downregulated Genes	GNAI1
Mavrikaki et al. Downregulated Genes	ARPP19
Mavrikaki et al. Downregulated Genes	FGF13
Mavrikaki et al. Downregulated Genes	OLFM1
Mavrikaki et al. Downregulated Genes	FIBCD1
Mavrikaki et al. Downregulated Genes	SH3BP5
Mavrikaki et al. Downregulated Genes	RFTN1
Mavrikaki et al. Downregulated Genes	SEC61G
Mavrikaki et al. Downregulated Genes	UTP3
Mavrikaki et al. Downregulated Genes	ACTR3B
Mavrikaki et al. Downregulated Genes	CAMK1
Mavrikaki et al. Downregulated Genes	ANO3
Mavrikaki et al. Downregulated Genes	GRP
Mavrikaki et al. Downregulated Genes	PDGFRA
